Lugar_ID,Ciudad,GobAdmin_2,GobAdmin_1,Nacion,Longitud,Latitud
B74,Bioul,Namur,Wallonie,2,4.7961,50.3311
B75,Ciney,Namur,Wallonie,2,5.10083,50.2957
B76,Dinant,Namur,Wallonie,2,4.91275,50.2605
B77,Eghezee,Namur,Wallonie,2,4.90365,50.5926
B78,Fernelmont,Namur,Wallonie,2,4.98333,50.55
B79,Floreffe,Namur,Wallonie,2,4.75922,50.434
B80,Florennes,Namur,Wallonie,2,4.60511,50.2506
B81,Gembloux,Namur,Wallonie,2,4.68843,50.56515
B82,Gesves,Namur,Wallonie,2,5.07555,50.4025
B83,Hamois,Namur,Wallonie,2,5.15685,50.341
B84,Hastiere,Namur,Wallonie,2,4.83333,50.2167
B85,Houyet,Namur,Wallonie,2,5.00997,50.1855
B86,Jemeppe-sur-Sambre,Namur,Wallonie,2,4.67869,50.4631
B87,La Bruyere,Namur,Wallonie,2,4.8,50.5
B88,Mettet,Namur,Wallonie,2,4.65785,50.32
B89,Namur,Namur,Wallonie,2,4.8719854,50.4673883
B90,Ohey,Namur,Wallonie,2,5.1246,50.4367
B91,Onhaye,Namur,Wallonie,2,4.83986,50.2415
B92,Philippeville,Namur,Wallonie,2,4.54304,50.1958
B93,Profondeville,Namur,Wallonie,2,4.8674,50.3757
B94,Sambreville,Namur,Wallonie,2,4.63073,50.4467
B95,Sombreffe,Namur,Wallonie,2,4.5884,50.5287
B96,Walcourt,Namur,Wallonie,2,4.43492,50.2539
B97,Yvoir,Namur,Wallonie,2,4.87786,50.327
B98,Bruges,West-Vlaanderen,Wallonie,2,3.2246995,51.209348
B99,Nieuwpoort,West-Vlaanderen,Wallonie,2,2.7480158,51.1284823
B100,Ostend,West-Vlaanderen,Wallonie,2,2.928656,51.21543
CR0,Budejovice,Ceske Budejovice,Jihocesky,3,14.480255,48.975658
CR1,Brunn,Brno,Jihomoravsky,3,16.6067304,49.1950982
CR2,Hodonin,Hodonin,Jihomoravsky,3,17.1260024,48.8529391
CR3,Olomouc,Olomouc,Olomoucky,3,17.2508787,49.593778
CR4,Pilsen,Plzen,Plzensky,3,13.373637,49.738431
CR5,Prague,Praha 1,Prague,3,14.4378005,50.0755381
CR6,Jankov,Benesov,Stredocesky,3,14.730747,49.652939
CR7,Melnik,Melnik,Stredocesky,3,14.481781,50.353902
CR8,Brandys nad Labem-Stara Boleslav,Praha - vychod,Stredocesky,3,14.6592444,50.1863259
FI1,Faaborg,Faaborg,Fyn,4,NA,NA
D1,NA,NA,NA,4,NA,NA
D2,Norre-Nebel,Blaabjerg,Ribe,4,NA,NA
D3,Blavand,Blavandshuk,Ribe,4,NA,NA
D4,Bramming,Bramming,Ribe,4,NA,NA
D5,Esbjerg,Esbjerg,Ribe,4,NA,NA
D6,Fano,Fano,Ribe,4,NA,NA
D7,Agerbaek,Helle,Ribe,4,NA,NA
D8,Ribe,Ribe,Ribe,4,NA,NA
D9,Varde,Varde,Ribe,4,NA,NA
D10,Ringkobing,Ringkobing,Ringkobing,4,NA,NA
D11,Haderslev,Haderslev,South Jutland,4,NA,NA
D12,Skaerbaek,Skarbak,South Jutland,4,NA,NA
D13,Sonderby,Skarbak,South Jutland,4,8.500691,55.05508
D14,Lolland,Nysted,Storstrom,4,11.46493,54.727543
E0,NA,NA,NA,5,NA,NA
FI0,NA,NA,NA,6,NA,NA
FR0,Erstein,Bas-Rhin,Alsace,7,7.66326,48.4235
FR1,La Wantzenau,Bas-Rhin,Alsace,7,7.82713,48.658
FR2,NA,Bas-Rhin,Alsace,7,NA,NA
FR3,Saverne,Bas-Rhin,Alsace,7,7.361647,48.741963
FR4,Schlettstadt,Bas-Rhin,Alsace,7,7.454241,48.259386
FR5,Strassburg,Bas-Rhin,Alsace,7,7.752111,48.573405
FR6,Cernay,Haut-Rhin,Alsace,7,7.176532,47.807124
FR7,Ensisheim,Haut-Rhin,Alsace,7,7.35181,47.8659
FR8,NA,Haut-Rhin,Alsace,7,NA,NA
FR9,Thann,Haut-Rhin,Alsace,7,7.102382,47.810702
FR10,Vergt,Dordogne,Aquitaine,7,0.7193119,45.026165
FR11,Bordeaux,Gironde,Aquitaine,7,-0.57918,44.837789
FR12,Coutras,Gironde,Aquitaine,7,-0.129361,45.04067
FR13,Agen,Lot-et-Garonne,Aquitaine,7,0.616363,44.203142
FR14,Marmande,Lot-et-Garonne,Aquitaine,7,0.159869,44.500484
FR15,Nerac,Lot-et-Garonne,Aquitaine,7,0.340128,44.136103
FR16,Bearn,Pyrenees-Atlantiques,Aquitaine,7,-0.2136437,43.1350202
FR17,Orthez,Pyrenees-Atlantiques,Aquitaine,7,-0.7739279,43.48756
FR18,Saint-Jean-de-Luz,Pyrenees-Atlantiques,Aquitaine,7,-1.663055,43.388051
FR19,Le Puy-en-Velay,Haute-Loire,Auvergne,7,3.882936,45.042768
FR20,Issoire,Puy-de-Dome,Auvergne,7,3.248128,45.54151
FR21,Riom,Puy-de-Dome,Auvergne,7,3.114932,45.8939949
FR22,L'Oudon,Calvados,Basse-Normandie,7,0.0321618,48.9706758
FR23,NA,NA,Basse-Normandie,7,NA,NA
FR24,Arnay-le-Duc,Cote-d'Or,Bourgogne,7,4.485898,47.130623
FR25,Auxonne,Cote-d'Or,Bourgogne,7,5.388925,47.193543
FR26,Dijon,Cote-d'Or,Bourgogne,7,5.04148,47.322047
FR27,Fontaine-Francaise,Cote-d'Or,Bourgogne,7,5.370847,47.526469
FR28,Saint-Jean-de-Losne,Cote-d'Or,Bourgogne,7,5.262806,47.102266
FR29,La Charite-sur-Loire,Nievre,Bourgogne,7,3.018014,47.177091
FR30,Nevers,Nievre,Bourgogne,7,3.162845,46.990896
FR31,Autun,Saone-et-Loire,Bourgogne,7,4.301565,46.950914
FR32,Chalon-sur-Saone,Saone-et-Loire,Bourgogne,7,4.853947,46.780764
FR33,Macon,Saone-et-Loire,Bourgogne,7,4.828731,46.3068839
FR34,Tonnerre,Yonne,Bourgogne,7,3.973527,47.856724
